SoundId	IsRepeat	RepeatInterval_min	RepeatInterval_max	SoundFile	Type	SubType	Desc	
0	0	0	0	Media/Sound/random/click 			点击确定按钮	
1	0	0	0	Media/Sound/note/bd			点击取消按钮	
2	0	0	0	Media/Sound/ui/error			错误操作	
3	0	0	0	Media/Sound/ui/result_c			无效操作	
4	0	0	0	Media/Sound/note/hat			打开一级面板	
5	0	0	0	Media/Sound/note/hat			关闭一级面板	
6	0	0	0	Media/Sound/note/hat			打开二级或更低级面板	
7	0	0	0	Media/Sound/note/hat			关闭二级或更低级面板	
8	0	0	0	Media/Sound/random/successful_hit			弹出提示窗	
9	0	0	0	Media/Sound/random/successful_hit			邮件	
10	0	0	0	Media/Sound/note/bass			私聊	
11	0	0	0	Media/Sound/ui/count_down_normal			倒计时，普通	
12	0	0	0	Media/Sound/ui/count_down_special			倒计时，急迫	
13	0	0	0	Media/Sound/ui/gold_buy_01			获得物品	
14	0	0	0	Media/Sound/ui/gold_buy_02			获得金币	
15	0	0	0	Media/Sound/note/bass			获得钻石	
16	0	0	0	Media/Sound/random/boy_hurt 			男玩家受击	
17	0	0	0	Media/Sound/random/girl_hurt 			女玩家受击	
18	0	0	0	Media/Sound/random/boy_hurt 			玩家受击3	
19	0	0	0	Media/Sound/random/bow 			拉弓	
20	0	0	0	Media/Sound/random/bowhit			发射	
21	0	0	0	Media/Sound/random/bowhit			发射火箭	
22	0	0	0	Media/Sound/random/bowhit			发射特殊箭	
23	0	0	0	Media/Sound/mob/zombie/hurt			僵尸受伤	
24	0	0	0	Media/Sound/mob/zombie/death			僵尸死亡	
25	0	0	0	Media/Sound/dig/grass			放置草方块	
26	0	0	0	Media/Sound/dig/grass			破坏草方块	
27	0	0	0	Media/Sound/dig/grass			放置泥方块	
28	0	0	0	Media/Sound/dig/grass			破坏泥方块	
29	0	0	0	Media/Sound/dig/wood			放置木方块	
30	0	0	0	Media/Sound/dig/wood			破坏木方块	
31	0	0	0	Media/Sound/dig/snow			放置软质方块	
32	0	0	0	Media/Sound/dig/snow			破坏软质方块	
33	0	0	0	Media/Sound/dig/sand			放置沙子方块	
34	0	0	0	Media/Sound/dig/sand			破坏沙子方块	
35	0	0	0	Media/Sound/dig/snow			放置雪方块	
36	0	0	0	Media/Sound/dig/snow			破坏雪方块	
37	0	0	0	Media/Sound/dig/stone			放置石方块	
38	0	0	0	Media/Sound/dig/stone			破坏石方块	
39	0	0	0	Media/Sound/dig/snow			放置铁方块	
40	0	0	0	Media/Sound/dig/snow			破坏铁方块	
41	0	0	0	Media/Sound/dig/snow			放置金方块	
42	0	0	0	Media/Sound/dig/snow			破坏金方块	
43	0	0	0	Media/Sound/dig/snow			放置钻石方块	
44	0	0	0	Media/Sound/dig/snow			破坏钻石方块	
45	0	0	0	Media/Sound/step/cloth			行走布质地面	
46	0	0	0	Media/Sound/step/grass			行走草地	
47	0	0	0	Media/Sound/step/sand			行走沙地	
48	0	0	0	Media/Sound/step/gravel			行走碎石地	
49	0	0	0	Media/Sound/step/ladder			行走梯子	
50	0	0	0	Media/Sound/step/stone			行走石地板	
51	0	0	0	Media/Sound/step/wood			行走木地板	
52	0	0	0	Media/Sound/step/snow2			引信	
53	0	0	0	Media/Sound/random/glass			碎玻璃	
54	0	0	0	Media/Sound/random/click			木按钮	
55	0	0	0	Media/Sound/random/wooden_door/open			开木门	
56	0	0	0	Media/Sound/random/wooden_door/close 			关木门	
57	0	0	0	Media/Sound/random/iron_door/open			开铁门	
58	0	0	0	Media/Sound/random/iron_door/close			关铁门	
59	0	0	0	Media/Sound/step/snow1			传送门	
60	0	0	0	Media/Sound/random/fuse			发出嘶嘶声	
61	0	0	0	Media/Sound/random/explode			爆炸	
62	0	0	0	Media/Sound/step/snow2			隐身状态	
63	0	0	0	Media/Sound/step/snow2			加速状态	
64	0	0	0	Media/Sound/step/snow2			跳跃状态	
65	0	0	0	Media/Sound/step/snow2			夜视状态	
66	1	0	0	Media/Sound/ambient/weather/rain			下雨	
67	0	0	0	Media/Sound/ambient/weather/thunder			打雷	
68	0	0	0	Media/Sound/liquid/lava			熔岩	
69	0	0	0	Media/Sound/liquid/water			流水	
70	0	0	0	Media/Sound/note/hat			点击	
71	0	0	0	Media/Sound/random/door_open			开门	
72	0	0	0	Media/Sound/random/door_close			关门	
73	0	0	0	Media/Sound/random/anvil_break 			random.anvil_break	
74	0	0	0	Media/Sound/random/anvil_use 			random.anvil_use	
75	0	0	0	Media/Sound/random/anvil_land 			random.anvil_land	
76	0	0	0	Media/Sound/random/glass			random.glass	
77	0	0	0	Media/Sound/liquid/swim			liquid.swim	
78	0	0	0	Media/Sound/enchant/thorns/hit			damage.thorns	
79	0	0	0	Media/Sound/liquid/splash			liquid.splash	
80	0	0	0	Media/Sound/random/bowhit			random.bowhit	
81	0	0	0	Media/Sound/random/pop 			random.pop	
